År;Månad;Dag;Timme;Temperatur;Effekt;Vind;Soltimmar
2016;10;30;22;3,879394242;18,78276514;1,1;0
2016;10;30;23;3,25167905;19,57366595;0,8;0
2016;10;31;0;2,933836043;18,1742382;0;0
2016;10;31;1;2,819936497;18,20632425;1,1;0
2016;10;31;2;3,398540863;17,0380505;1,4;0
2016;10;31;3;4,299936021;17,19758116;0,8;0
2016;10;31;4;4,902986527;17,91432685;0,7;0
2016;10;31;5;4,921244048;18,57927293;0;0
2016;10;31;6;4,915013799;20,33295642;0;0
2016;10;31;7;5,471032272;19,59081599;0,6;0
2016;10;31;8;5,908046889;18,78665094;0,8;145
2016;10;31;9;7,08762112;18,03778965;1,1;1951
2016;10;31;10;7,982964129;17,56926179;1,6;2705
2016;10;31;11;9,250028203;16,3595127;1,5;1142
2016;10;31;12;9,021023223;16,26007825;1;2697
2016;10;31;13;9,161823114;16,25562735;1,8;2459
2016;10;31;14;9,418868687;15,18778932;1,2;2164
2016;10;31;15;9,237433498;15,35109247;0;1012
2016;10;31;16;7,87924275;17,08596417;0;0
2016;10;31;17;7,651113;17,18355614;0;0
2016;10;31;18;7,148698807;16,95848105;0;0
2016;10;31;19;6,743256133;16,89079484;0;0
2016;10;31;20;6,586485388;17,51245822;0;0
2016;10;31;21;6,576825655;17,23005742;0;0
2016;10;31;22;7,381096172;16,37336428;0,6;0
2016;10;31;23;7,516504007;15,90049218;0;0
2016;11;1;0;7,173265457;16,8809686;0,5;0
2016;11;1;1;7,173265457;17,6684037;1,3;0
2016;11;1;2;6,825152985;17,4793403;1,6;0
2016;11;1;3;6,380403457;17,48650039;2,1;0
2016;11;1;4;5,319130714;17,40334302;2,5;0
2016;11;1;5;4,4161623;17,5317345;3;0
2016;11;1;6;3,438266287;20,90532112;4,4;0
2016;11;1;7;3,218394366;21,77970158;4,1;0
2016;11;1;8;3,741094837;21,55045248;4,6;0
2016;11;1;9;4,27361826;19,59825007;4,6;0
2016;11;1;10;4,485867408;19,52870243;4,6;0
2016;11;1;11;4,842254967;19,5312526;4,6;0
2016;11;1;12;4,967018611;21,65107801;4,7;0
2016;11;1;13;5,340842121;19,15800091;4,1;0
2016;11;1;14;4,988955131;19,6816003;3,8;0
2016;11;1;15;4,295621781;19,78067518;2,7;0
2016;11;1;16;3,661645661;20,82819963;3,6;0
2016;11;1;17;3,30471788;20,90291534;4,6;0
2016;11;1;18;2,81338799;21,2039559;5,7;0
2016;11;1;19;2,705281791;22,23971604;4;0
2016;11;1;20;2,35172081;21,61634554;5,1;0
2016;11;1;21;2,35172081;21,79732745;5,4;0
2016;11;1;22;2,35172081;21,74650704;4,5;0
2016;11;1;23;2,35172081;20,35516918;5,3;0
2016;11;2;0;2,407850295;19,63791224;6,6;0
2016;11;2;1;2,724498749;19,17100268;6,2;0
2016;11;2;2;2,724498749;19,41957336;7,3;0
2016;11;2;3;2,724498749;18,65661647;6,1;0
2016;11;2;4;2,932231095;19,23754266;5,8;0
2016;11;2;5;3,079118729;20,28227119;6,1;0
2016;11;2;6;3,079118729;22,51457262;6,1;0
2016;11;2;7;3,079118729;22,72191181;6,1;0
2016;11;2;8;3,079118729;24,78996828;6;0
2016;11;2;9;3,331433246;24,17812113;6,8;0
2016;11;2;10;3,771110243;22,94092622;4,2;0
2016;11;2;11;4,420690536;21,38973786;5,7;0
2016;11;4;0;0,167018998;24,67022782;0,8;0
2016;11;4;1;-0,42429529;24,43173482;0;0
2016;11;4;2;-1,195026727;23,52689312;0;0
2016;11;4;3;-0,517204222;23,99626585;0,7;0
2016;11;4;4;0,6397262;23,66462568;0;0
2016;11;4;5;0,347528332;24,48277786;0;0
2016;11;4;6;-0,570244727;26,72153478;1;0
2016;11;4;7;-0,610546983;27,81936813;0,6;0
2016;11;4;8;-0,379533022;27,47503265;0,8;0
2016;11;4;9;0,109651388;27,62685949;0,6;0
2016;11;4;10;0,618366402;27,02800661;0;0
2016;11;4;11;1,134160458;25,58609292;1,2;0
2016;11;4;12;0,865911931;24,93356383;1,5;0
2016;11;4;13;0,744056269;25,42443922;0,9;0
2016;11;4;14;1,046665205;26,66104484;1,4;0
2016;11;4;15;1,286798791;26,68936768;1,4;0
2016;11;4;16;0,96914119;26,96940222;1,8;0
2016;11;4;17;0,692687788;25,32592644;1,6;0
2016;11;4;18;1,160507958;24,38750634;1,6;0
2016;11;4;19;1,178115781;23,8247085;1,4;0
2016;11;4;20;0,78081949;23,74223257;1,8;0
2016;11;4;21;0,56528539;24,52125686;2,2;0
2016;11;4;22;0,539878086;23,68735955;2,1;0
2016;11;4;23;0,330118777;20,51995819;3,1;0
2016;11;5;0;-0,153885337;19,57167384;2,8;0
2016;11;5;1;0,094340407;21,72391876;2,9;0
2016;11;5;2;-0,081375557;22,7760988;2,4;0
2016;11;5;3;0,104372025;22,25969667;3,7;0
2016;11;5;4;0,104372025;22,8752105;3,3;0
2016;11;5;5;0,104372025;23,65521371;2;0
2016;11;5;6;0,349878079;23,4177644;2,5;0
2016;11;5;7;0,221298401;22,97794422;2,5;0
2016;11;5;8;0,158783241;23,0999648;4,6;146
2016;11;5;9;1,352107655;20,92181348;3,9;648
2016;11;5;10;2,328276808;19,36086691;4,1;617
2016;11;5;11;2,962763776;20,50384452;5,5;128
2016;11;5;12;3,079118729;21,88969691;5,8;0
2016;11;5;13;3,079118729;23,12798501;5,6;0
2016;11;5;14;3,02360967;20,78656335;5,7;240
2016;11;5;15;2,202896601;21,72827559;4,8;0
2016;11;5;16;1,793452401;21,40944927;7,6;0
2016;11;5;17;1,16415179;23,10907515;7,8;0
2016;11;5;18;0,730687522;22,74826863;6,8;0
2016;11;5;19;0,182337896;25,26370329;6,9;0
2016;11;5;20;-0,137715637;26,06796086;7,2;0
2016;11;5;21;-0,696443343;25,35299644;6,4;0
2016;11;5;22;-0,971237183;24,63916551;7,8;0
2016;11;5;23;-0,971237183;24,36340992;5,8;0
2016;11;6;0;-0,65326019;23,64673745;7,2;0
2016;11;6;1;-0,598459244;24,36027738;5,4;0
2016;11;6;2;-0,598459244;24,60211504;6;0
2016;11;6;3;-0,598459244;23,93383239;7;0
2016;11;6;4;-0,598459244;23,09567152;6,8;0
2016;11;6;5;-0,968174709;23,69964967;7;0
2016;11;6;6;-0,971237183;23,57416729;7,6;0
2016;11;6;7;-0,710267567;23,66298743;7;0
2016;11;6;8;-0,598459244;25,0020635;6,3;0
2016;11;6;9;-0,403215497;24,55542385;6,1;0
2016;11;6;10;0,370108377;24,04858114;5,9;0
2016;11;6;11;0,502784729;24,31680687;6,6;0
2016;11;6;12;0,502784729;23,05364492;6,2;0
2016;11;6;13;0,3392465;24,21589686;5,2;0
2016;11;6;14;-0,13180612;25,08210269;5,3;0
2016;11;6;15;-0,134716441;25,27798247;4,5;0
2016;11;6;16;-0,245261564;26,81005997;4,7;0
2016;11;6;17;-0,839926803;28,07633037;4;0
2016;11;6;18;-1,114269126;27,45321948;4,7;0
2016;11;6;19;-0,827051977;26,21784374;3,8;0
2016;11;6;20;-0,75607773;26,60260845;4,2;0
2016;11;6;21;-0,961702766;25,54104366;4,4;0
2016;11;6;22;-0,598459244;27,92926877;4,5;0
2016;11;6;23;-0,598459244;25,73421465;3,8;0
2016;11;7;0;-0,629710565;24,68855769;3;0
2016;11;7;1;-0,971237183;23,02050056;3,6;0
2016;11;7;2;-0,971237183;22,70720425;3,3;0
2016;11;7;3;-0,971237183;22,96239858;2,9;0
2016;11;7;4;-1,105872128;25,16401794;4,7;0
2016;11;7;5;-1,38339368;27,26464523;5,2;0
2016;11;7;6;-1,754175388;30,1902902;5,1;0
2016;11;7;7;-1,999854693;29,77335124;4,4;0
2016;11;7;8;-1,671502851;28,46809222;4,3;0
2016;11;7;9;-1,214619791;29,08601713;4,7;0
2016;11;7;10;-0,67036041;28,53344633;4,7;0
2016;11;7;11;0,272636324;27,80098784;3,7;690
2016;11;7;12;0,324614841;26,5296544;5,4;670
2016;11;7;13;0,021099562;25,27110762;4,3;1495
2016;11;7;14;-0,244150286;26,91416022;4,5;0
2016;11;7;15;-0,623025894;27,28919824;4,6;0
2016;11;7;16;-0,934097838;27,48268968;4,1;0
2016;11;7;17;-0,971237183;26,94876272;3,2;0
2016;11;7;18;-0,971237183;26,83245658;3,4;0
2016;11;7;19;-0,971237183;26,02075548;3,8;0
2016;11;7;20;-0,89058854;24,04807786;3,6;0
2016;11;7;21;-0,598459244;24,29285028;3,9;0
2016;11;7;22;-0,364927998;24,24297052;4,1;0
2016;11;7;23;-0,22461319;24,42273137;4,7;0
2016;11;11;15;0,290412451;28,68913908;3,7;0
2016;11;11;16;0,61193764;27,40284825;2,1;0
2016;11;11;17;0,719061046;24,88783159;2,9;0
2016;11;11;18;0,453651428;24,34679568;2,6;0
2016;11;11;19;0,027936696;24,83580805;5,6;0
2016;11;11;20;-0,968494395;25,60848334;3,7;0
2016;11;11;21;-1,630123088;25,08484555;5,5;0
2016;11;11;22;-2,379040695;23,99378191;4,6;0
2016;11;11;23;-2,575459759;24,55173831;2,5;0
2016;11;12;0;-2,648202896;24,47660756;0,7;0
2016;11;12;1;-2,826232683;26,68875915;2,2;0
2016;11;12;2;-3,142674438;26,98587663;1;0
2016;11;12;3;-3,222858429;27,17632762;0,6;0
2016;11;12;4;-3,522650922;27,4895443;0,5;0
2016;11;12;5;-3,670404434;26,93507294;0,9;0
2016;11;12;6;-3,670404434;27,73219045;1,3;0
2016;11;12;7;-3,964736973;28,40439481;1;0
2016;11;12;8;-4,057821659;29,35810188;2;2092
2016;11;12;9;-2,451972835;29,27109893;1,5;3586
2016;11;12;10;-1,065817599;26,95808993;0,9;3600
2016;11;12;11;0,191755941;23,68823911;1,2;3600
2016;11;12;12;0,728735541;22,54686919;1,9;3600
2016;11;12;13;1,282587087;22,53527745;0,8;3426
2016;11;12;14;1,284233995;20,78118727;1,7;3600
2016;11;12;15;0,399176397;22,7217739;0,9;963
2016;11;12;16;-0,763731223;25,74014909;0,7;0
2016;11;12;17;-1,655322833;26,74422989;0,9;0
2016;11;12;18;0,447234403;25,51272043;2,4;0
2016;11;12;19;2,385257471;24,36041389;1;0
2016;11;12;20;1,33372718;24,10667972;0,9;0
